sweep,degree,procs,repeat,serial,mpi_send,mpi_compute,mpi_receive,mpi_total,mpi_speedup,pthreads,pthreads_speedup,correctness
procs,100000,1,1,5.785979,0.000756,5.810512,0.000769,5.812036,1.00,5.096014,1.14,OK
procs,100000,1,2,5.790016,0.000476,5.814833,0.000777,5.816086,1.00,5.096424,1.14,OK
procs,100000,1,3,5.787009,0.000485,5.805808,0.000779,5.807072,1.00,5.098715,1.13,OK
procs,100000,1,4,5.788769,0.000478,5.803639,0.000771,5.804888,1.00,5.096161,1.14,OK
procs,100000,2,1,5.976983,0.000323,2.994661,0.000860,2.995845,2.00,5.244196,1.14,OK
procs,100000,2,2,5.969765,0.000780,3.007271,0.000861,3.008911,1.98,5.242075,1.14,OK
procs,100000,2,3,5.973337,0.000721,3.011321,0.000851,3.012893,1.98,5.242192,1.14,OK
procs,100000,2,4,5.975544,0.000700,3.001749,0.000845,3.003294,1.99,5.244593,1.14,OK
procs,100000,4,1,6.282321,0.000464,1.598707,0.001682,1.600853,3.92,2.463407,2.55,OK
procs,100000,4,2,6.285923,0.008873,1.654157,0.001415,1.664445,3.78,2.536842,2.48,OK
procs,100000,4,3,6.304183,0.001140,1.638101,0.001584,1.640826,3.84,2.324883,2.71,OK
procs,100000,4,4,6.279901,0.001046,1.670984,0.001491,1.673522,3.75,2.627318,2.39,OK
procs,100000,8,1,12.563748,0.002590,1.818518,0.003649,1.824757,6.89,2.734501,4.59,OK
procs,100000,8,2,12.589134,0.001408,1.753602,0.002986,1.757996,7.16,2.735515,4.60,OK
procs,100000,8,3,12.616454,0.025145,1.692133,0.002976,1.720254,7.33,2.713662,4.65,OK
procs,100000,8,4,12.629652,0.001274,1.730025,0.007055,1.738354,7.27,2.740271,4.61,OK
degree,10000,4,1,0.093750,0.000281,0.036226,0.000468,0.036975,2.54,0.034916,2.69,OK
degree,10000,4,2,0.061070,0.000202,0.017739,0.000191,0.018132,3.37,0.030171,2.02,OK
degree,10000,4,3,0.061148,0.000321,0.023379,0.000204,0.023904,2.56,0.031880,1.92,OK
degree,10000,4,4,0.061204,0.000287,0.022092,0.000202,0.022581,2.71,0.034321,1.78,OK
degree,50000,4,1,1.568917,0.000874,0.401995,0.000782,0.403652,3.89,0.652905,2.40,OK
degree,50000,4,2,1.570009,0.000912,0.462220,0.000785,0.463917,3.38,0.645397,2.43,OK
degree,50000,4,3,1.575507,0.000922,0.455093,0.000870,0.456885,3.45,0.601743,2.62,OK
degree,50000,4,4,1.570294,0.000836,0.452550,0.000875,0.454261,3.46,0.648657,2.42,OK
degree,100000,4,1,6.334116,0.001216,1.626124,0.001684,1.629023,3.89,2.547130,2.49,OK
degree,100000,4,2,6.303268,0.001052,1.717368,0.001689,1.720109,3.66,2.614415,2.41,OK
degree,100000,4,3,6.286649,0.001199,1.849693,0.001383,1.852274,3.39,2.443920,2.57,OK
degree,100000,4,4,6.281307,0.001042,1.721487,0.001617,1.724145,3.64,2.626463,2.39,OK
degree,120000,4,1,9.126741,0.001223,2.728322,0.001741,2.731286,3.34,3.746218,2.44,OK
degree,120000,4,2,9.052714,0.001216,2.748777,0.001989,2.751982,3.29,3.423769,2.64,OK
degree,120000,4,3,9.047818,0.001255,2.659513,0.002016,2.662783,3.40,3.704609,2.44,OK
degree,120000,4,4,9.052093,0.001226,2.565009,0.001753,2.567988,3.52,3.591875,2.52,OK
degree,130000,4,1,10.625612,0.001434,3.577839,0.001888,3.581161,2.97,4.242579,2.50,OK
degree,130000,4,2,10.619200,0.001198,3.533311,0.002165,3.536675,3.00,4.216258,2.52,OK
degree,130000,4,3,10.672234,0.001388,3.353165,0.001894,3.356447,3.18,4.287301,2.49,OK
degree,130000,4,4,10.676646,0.001294,3.468495,0.002165,3.471954,3.08,4.175928,2.56,OK
degree,140000,4,1,12.380712,0.001447,4.716400,0.002353,4.720200,2.62,5.047141,2.45,OK
degree,140000,4,2,12.318716,0.001640,4.326874,0.002355,4.330869,2.84,5.004858,2.46,OK
degree,140000,4,3,12.364019,0.001635,4.871097,0.002071,4.874803,2.54,5.007468,2.47,OK
degree,140000,4,4,12.324181,0.001638,4.388801,0.002327,4.392765,2.81,4.860066,2.54,OK
degree,160000,4,1,16.086710,0.001850,6.856227,0.002560,6.860637,2.34,6.222446,2.59,OK
degree,160000,4,2,16.105548,0.001743,6.974212,0.002485,6.978441,2.31,6.516760,2.47,OK
degree,160000,4,3,16.148995,0.001758,7.161870,0.002682,7.166310,2.25,6.622033,2.44,OK
degree,160000,4,4,16.163601,0.001845,7.342572,0.002678,7.347095,2.20,6.692007,2.42,OK
degree,200000,4,1,25.287465,0.002251,13.291098,0.003303,13.296652,1.90,10.144896,2.49,OK
degree,200000,4,2,25.264793,0.002105,13.488774,0.003303,13.494182,1.87,10.284599,2.46,OK
degree,200000,4,3,25.365515,0.002275,12.796732,0.002648,12.801655,1.98,9.779416,2.59,OK
degree,200000,4,4,25.281106,0.002269,13.280957,0.003293,13.286520,1.90,10.356956,2.44,OK
