sweep,size,sparsity,iterations,procs,avg_csr_build,avg_csr_send,avg_csr_compute,avg_csr_total,avg_dense_total,avg_csr_vs_dense,avg_serial_build,avg_serial_compute,avg_serial_total,avg_compute_speedup,avg_total_speedup
iterations,4000,90,1,4,0.040467,0.005165,0.000496,0.046128,0.026814,0.580000,0.040467,0.001074,0.041541,2.165000,0.900000
iterations,4000,90,10,4,0.040450,0.005155,0.003600,0.049204,0.050466,1.027500,0.040450,0.010370,0.050821,2.880000,1.032500
iterations,4000,90,20,4,0.040442,0.005171,0.006640,0.052253,0.076545,1.467500,0.040442,0.020561,0.061003,3.097500,1.170000
iterations,4000,90,5,4,0.040446,0.005157,0.002013,0.047616,0.037331,0.782500,0.040446,0.005252,0.045698,2.610000,0.960000
procs,4000,90,10,1,0.039447,0.006645,0.010210,0.056301,0.128598,2.285000,0.039447,0.010279,0.049726,1.007500,0.882500
procs,4000,90,10,2,0.039440,0.005507,0.005356,0.050302,0.074767,1.485000,0.039440,0.010221,0.049662,1.907500,0.990000
procs,4000,90,10,4,0.040486,0.005147,0.003571,0.049203,0.050436,1.027500,0.040486,0.010364,0.050850,2.902500,1.030000
procs,4000,90,10,8,0.086307,0.009038,0.003894,0.099240,0.065907,0.662500,0.086307,0.021555,0.107862,5.535000,1.090000
size,1000,90,10,4,0.003015,0.000419,0.000307,0.003741,0.003729,1.007500,0.003015,0.000671,0.003687,2.240000,0.982500
size,2000,90,10,4,0.010149,0.001309,0.000715,0.012172,0.012642,1.037500,0.010149,0.002313,0.012462,3.242500,1.025000
size,4000,90,10,4,0.040453,0.005163,0.003582,0.049199,0.050431,1.025000,0.040453,0.010339,0.050791,2.887500,1.032500
size,8000,90,10,4,0.161986,0.020377,0.019215,0.201579,0.191208,0.947500,0.161986,0.046581,0.208567,2.425000,1.035000
sparsity,4000,0,10,4,0.073352,0.049273,0.048329,0.170954,0.050303,0.290000,0.073352,0.100841,0.174194,2.087500,1.020000
sparsity,4000,50,10,4,0.106018,0.025350,0.023838,0.155206,0.050356,0.322500,0.106018,0.054099,0.160117,2.270000,1.030000
sparsity,4000,75,10,4,0.068827,0.012935,0.011299,0.093061,0.050388,0.540000,0.068827,0.027566,0.096392,2.440000,1.037500
sparsity,4000,90,10,4,0.040478,0.005151,0.003572,0.049202,0.050366,1.022500,0.040478,0.010432,0.050910,2.920000,1.032500
sparsity,4000,99,10,4,0.023549,0.000635,0.000440,0.024624,0.050471,2.050000,0.023549,0.001143,0.024692,2.600000,1.000000
