sweep,size,sparsity,iterations,procs,repeat,csr_build,csr_send,csr_compute,csr_total,dense_total,csr_vs_dense,serial_build,serial_compute,serial_total,compute_speedup,total_speedup,correctness
procs,4000,90,10,1,1,0.039445,0.006672,0.010172,0.056289,0.128709,2.29,0.039445,0.010397,0.049842,1.02,0.89,OK
procs,4000,90,10,1,2,0.039444,0.006621,0.010268,0.056334,0.128732,2.29,0.039444,0.010269,0.049713,1.00,0.88,OK
procs,4000,90,10,1,3,0.039427,0.006592,0.010259,0.056277,0.128485,2.28,0.039427,0.010331,0.049758,1.01,0.88,OK
procs,4000,90,10,1,4,0.039470,0.006694,0.010141,0.056305,0.128464,2.28,0.039470,0.010120,0.049591,1.00,0.88,OK
procs,4000,90,10,2,1,0.039440,0.005507,0.005315,0.050262,0.074623,1.48,0.039440,0.010140,0.049581,1.91,0.99,OK
procs,4000,90,10,2,2,0.039437,0.005480,0.005330,0.050246,0.074670,1.49,0.039437,0.010308,0.049745,1.93,0.99,OK
procs,4000,90,10,2,3,0.039447,0.005519,0.005412,0.050378,0.074696,1.48,0.039447,0.010182,0.049629,1.88,0.99,OK
procs,4000,90,10,2,4,0.039437,0.005522,0.005365,0.050324,0.075080,1.49,0.039437,0.010255,0.049692,1.91,0.99,OK
procs,4000,90,10,4,1,0.040477,0.005149,0.003533,0.049159,0.050411,1.03,0.040477,0.010256,0.050734,2.90,1.03,OK
procs,4000,90,10,4,2,0.040483,0.005145,0.003562,0.049190,0.050495,1.03,0.040483,0.010402,0.050885,2.92,1.03,OK
procs,4000,90,10,4,3,0.040507,0.005163,0.003623,0.049293,0.050429,1.02,0.040507,0.010415,0.050922,2.88,1.03,OK
procs,4000,90,10,4,4,0.040478,0.005129,0.003566,0.049172,0.050411,1.03,0.040478,0.010382,0.050860,2.91,1.03,OK
procs,4000,90,10,8,1,0.085919,0.009056,0.003868,0.098843,0.073465,0.74,0.085919,0.021480,0.107399,5.55,1.09,OK
